CREATED AT 2026/06/30 00:37:27 FOR 2026/06/30
Delivery Hour,Interval,Pricing Location,LMP,Energy Loss Price,Energy Congestion Price
1,1,ALLANBURG-LT.DRCTENGY_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.DRCTENGY_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.DRCTENGY_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.DRCTENGY_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.DRCTENGY_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.DRCTENGY_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.DRCTENGY_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.DRCTENGY_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.DRCTENGY_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.ENERCORP_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.ENERCORP_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.ENERCORP_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.ENERCORP_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.ENERCORP_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.ENERCORP_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.ENERCORP_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.ENERCORP_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.ENERCORP_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.ENERNOC_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.ENERNOC_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.ENERNOC_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.ENERNOC_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.ENERNOC_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.ENERNOC_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.ENERNOC_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.ENERNOC_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.ENERNOC_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.ENPOWINC_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.ENPOWINC_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.ENPOWINC_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.ENPOWINC_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.ENPOWINC_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.ENPOWINC_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.ENPOWINC_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.ENPOWINC_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.ENPOWINC_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.NRGCS_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.NRGCS_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.NRGCS_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.NRGCS_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.NRGCS_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.NRGCS_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.NRGCS_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.NRGCS_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.NRGCS_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.NRSTORCI_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.NRSTORCI_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.NRSTORCI_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.NRSTORCI_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.NRSTORCI_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.NRSTORCI_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.NRSTORCI_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.NRSTORCI_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.NRSTORCI_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.RODANCI_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.RODANCI_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.RODANCI_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.RODANCI_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.RODANCI_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.RODANCI_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.RODANCI_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.RODANCI_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.RODANCI_DRA,36.27,-0.04,0.00
1,1,ALLANBURG-LT.VOLTUS_DRA,37.36,-0.04,0.00
1,2,ALLANBURG-LT.VOLTUS_DRA,36.90,-0.04,0.00
1,3,ALLANBURG-LT.VOLTUS_DRA,35.02,-0.04,0.00
1,4,ALLANBURG-LT.VOLTUS_DRA,34.82,-0.03,0.00
1,5,ALLANBURG-LT.VOLTUS_DRA,34.25,-0.03,0.00
1,6,ALLANBURG-LT.VOLTUS_DRA,34.75,-0.03,0.00
1,7,ALLANBURG-LT.VOLTUS_DRA,36.27,-0.04,0.00
1,8,ALLANBURG-LT.VOLTUS_DRA,35.96,-0.04,0.00
1,9,ALLANBURG-LT.VOLTUS_DRA,36.27,-0.04,0.00
1,1,ALLISTON-LT.LFT2,37.43,0.04,0.00
1,2,ALLISTON-LT.LFT2,36.97,0.04,0.00
1,3,ALLISTON-LT.LFT2,35.09,0.04,0.00
1,4,ALLISTON-LT.LFT2,34.89,0.03,0.00
1,5,ALLISTON-LT.LFT2,34.32,0.03,0.00
1,6,ALLISTON-LT.LFT2,34.82,0.03,0.00
1,7,ALLISTON-LT.LFT2,36.34,0.04,0.00
1,8,ALLISTON-LT.LFT2,36.04,0.04,0.00
1,9,ALLISTON-LT.LFT2,36.34,0.04,0.00
1,1,ALMONTE-LT.LFJQ,39.12,1.72,0.00
1,2,ALMONTE-LT.LFJQ,38.64,1.70,0.00
1,3,ALMONTE-LT.LFJQ,36.66,1.61,0.00
1,4,ALMONTE-LT.LFJQ,36.46,1.60,0.00
1,5,ALMONTE-LT.LFJQ,35.86,1.58,0.00
1,6,ALMONTE-LT.LFJQ,36.38,1.60,0.00
1,7,ALMONTE-LT.LFJQ,37.98,1.67,0.00
1,8,ALMONTE-LT.LFJQ,37.66,1.66,0.00
1,9,ALMONTE-LT.LFJQ,37.98,1.67,0.00
1,1,ALMONTEBESS1-LT.BATT_LF1,39.12,1.72,0.00
1,2,ALMONTEBESS1-LT.BATT_LF1,38.64,1.70,0.00
1,3,ALMONTEBESS1-LT.BATT_LF1,36.66,1.61,0.00
1,4,ALMONTEBESS1-LT.BATT_LF1,36.46,1.60,0.00
1,5,ALMONTEBESS1-LT.BATT_LF1,35.86,1.58,0.00
1,6,ALMONTEBESS1-LT.BATT_LF1,36.38,1.60,0.00
1,7,ALMONTEBESS1-LT.BATT_LF1,37.98,1.67,0.00
1,8,ALMONTEBESS1-LT.BATT_LF1,37.66,1.66,0.00
1,9,ALMONTEBESS1-LT.BATT_LF1,37.98,1.67,0.00
1,1,ALMONTEBESS1-LT.BATT_TG1,39.12,1.72,0.00
1,2,ALMONTEBESS1-LT.BATT_TG1,38.64,1.70,0.00
1,3,ALMONTEBESS1-LT.BATT_TG1,36.66,1.61,0.00
1,4,ALMONTEBESS1-LT.BATT_TG1,36.46,1.60,0.00
1,5,ALMONTEBESS1-LT.BATT_TG1,35.86,1.58,0.00
1,6,ALMONTEBESS1-LT.BATT_TG1,36.38,1.60,0.00
1,7,ALMONTEBESS1-LT.BATT_TG1,37.98,1.67,0.00
1,8,ALMONTEBESS1-LT.BATT_TG1,37.66,1.66,0.00
1,9,ALMONTEBESS1-LT.BATT_TG1,37.98,1.67,0.00
1,1,ALMONTEBESS2-LT.BATT_LF2,39.12,1.72,0.00
1,2,ALMONTEBESS2-LT.BATT_LF2,38.64,1.70,0.00
1,3,ALMONTEBESS2-LT.BATT_LF2,36.66,1.61,0.00
1,4,ALMONTEBESS2-LT.BATT_LF2,36.46,1.60,0.00
1,5,ALMONTEBESS2-LT.BATT_LF2,35.86,1.58,0.00
1,6,ALMONTEBESS2-LT.BATT_LF2,36.38,1.60,0.00
1,7,ALMONTEBESS2-LT.BATT_LF2,37.98,1.67,0.00
1,8,ALMONTEBESS2-LT.BATT_LF2,37.66,1.66,0.00
1,9,ALMONTEBESS2-LT.BATT_LF2,37.98,1.67,0.00
1,1,ALMONTEBESS2-LT.BATT_TG2,39.12,1.72,0.00
1,2,ALMONTEBESS2-LT.BATT_TG2,38.64,1.70,0.00
1,3,ALMONTEBESS2-LT.BATT_TG2,36.66,1.61,0.00
1,4,ALMONTEBESS2-LT.BATT_TG2,36.46,1.60,0.00
1,5,ALMONTEBESS2-LT.BATT_TG2,35.86,1.58,0.00
1,6,ALMONTEBESS2-LT.BATT_TG2,36.38,1.60,0.00
1,7,ALMONTEBESS2-LT.BATT_TG2,37.98,1.67,0.00
1,8,ALMONTEBESS2-LT.BATT_TG2,37.66,1.66,0.00
1,9,ALMONTEBESS2-LT.BATT_TG2,37.98,1.67,0.00
1,1,AMARANTH-LT.AG_T1,36.95,-0.44,0.00
1,2,AMARANTH-LT.AG_T1,36.50,-0.44,0.00
1,3,AMARANTH-LT.AG_T1,34.63,-0.42,0.00
1,4,AMARANTH-LT.AG_T1,34.44,-0.41,0.00
1,5,AMARANTH-LT.AG_T1,33.88,-0.41,0.00
1,6,AMARANTH-LT.AG_T1,34.37,-0.41,0.00
1,7,AMARANTH-LT.AG_T1,35.88,-0.43,0.00
1,8,AMARANTH-LT.AG_T1,35.57,-0.43,0.00
1,9,AMARANTH-LT.AG_T1,35.88,-0.43,0.00
1,1,AMARANTH-LT.AG_T2,36.99,-0.41,0.00
1,2,AMARANTH-LT.AG_T2,36.53,-0.40,0.00
1,3,AMARANTH-LT.AG_T2,34.67,-0.38,0.00
1,4,AMARANTH-LT.AG_T2,34.48,-0.38,0.00
1,5,AMARANTH-LT.AG_T2,33.91,-0.37,0.00
1,6,AMARANTH-LT.AG_T2,34.41,-0.38,0.00
1,7,AMARANTH-LT.AG_T2,35.91,-0.40,0.00
1,8,AMARANTH-LT.AG_T2,35.61,-0.39,0.00
1,9,AMARANTH-LT.AG_T2,35.91,-0.40,0.00
1,1,AMARANTH-LT.FA11,36.95,-0.44,0.00
1,2,AMARANTH-LT.FA11,36.50,-0.44,0.00
1,3,AMARANTH-LT.FA11,34.63,-0.42,0.00
1,4,AMARANTH-LT.FA11,34.44,-0.41,0.00
1,5,AMARANTH-LT.FA11,33.88,-0.41,0.00
1,6,AMARANTH-LT.FA11,34.37,-0.41,0.00
1,7,AMARANTH-LT.FA11,35.88,-0.43,0.00
1,8,AMARANTH-LT.FA11,35.57,-0.43,0.00
1,9,AMARANTH-LT.FA11,35.88,-0.43,0.00
1,1,AMHERSTCGS-LT.AG_T1,37.93,0.53,0.00
1,2,AMHERSTCGS-LT.AG_T1,37.46,0.52,0.00
1,3,AMHERSTCGS-LT.AG_T1,35.55,0.50,0.00
1,4,AMHERSTCGS-LT.AG_T1,35.35,0.49,0.00
1,5,AMHERSTCGS-LT.AG_T1,34.77,0.49,0.00
1,6,AMHERSTCGS-LT.AG_T1,35.28,0.49,0.00
1,7,AMHERSTCGS-LT.AG_T1,36.82,0.52,0.00
1,8,AMHERSTCGS-LT.AG_T1,36.51,0.51,0.00
1,9,AMHERSTCGS-LT.AG_T1,36.82,0.52,0.00
1,1,ANDREWS-LT.AG12,34.72,-2.67,0.00
1,2,ANDREWS-LT.AG12,34.30,-2.64,0.00
1,3,ANDREWS-LT.AG12,32.54,-2.51,0.00
1,4,ANDREWS-LT.AG12,32.37,-2.49,0.00
1,5,ANDREWS-LT.AG12,31.83,-2.45,0.00
1,6,ANDREWS-LT.AG12,32.30,-2.49,0.00
1,7,ANDREWS-LT.AG12,33.71,-2.60,0.00
1,8,ANDREWS-LT.AG12,33.43,-2.57,0.00
1,9,ANDREWS-LT.AG12,33.71,-2.60,0.00
1,1,ANDREWS-LT.G3,34.72,-2.67,0.00
1,2,ANDREWS-LT.G3,34.30,-2.64,0.00
1,3,ANDREWS-LT.G3,32.54,-2.51,0.00
